DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
063,Clarksburg,BERKSHIRE,"363,614","80,488","20,166","24,704","3,218,214","395,807","46,238","77,910","457,711","167,372",0,"245,798"
064,Clinton,WORCESTER,"5,324,803","4,062,879","2,567,205","338,947","29,793,354","2,352,817","1,010,353","735,370","10,814,251","1,804,445",0,"1,225,948"
065,Cohasset,NORFOLK,"3,588,415","3,613,458","2,895,072","394,458","23,611,602","4,099,206","685,151","983,265","10,954,641","479,640",0,"1,672,052"
066,Colrain,FRANKLIN,"478,410","108,078","136,006","14,318","2,651,988","773,766","40,799","98,762","289,421","18,241",650,"6,067"
067,Concord,MIDDLESEX,"10,173,308","5,105,705","6,521,651","581,372","72,215,008","5,203,136","1,335,854","2,620,970","11,448,122","564,098","1,024,110","11,204,163"
068,Conway,FRANKLIN,"478,045","137,447","69,789","66,456","3,982,295","997,040","35,805","16,993","845,136","70,478",0,"142,473"
069,Cummington,HAMPSHIRE,"223,296","53,932","61,992","94,762","856,444","503,756","109,691","48,491","211,933",0,151,"281,825"
070,Dalton,BERKSHIRE,"1,290,605","1,430,823",0,"295,613","10,689,549","3,077,460","346,021","314,562","1,568,135","50,569",0,"408,047"
071,Danvers,ESSEX,"10,910,406","6,978,465","5,820,149","531,277","52,807,578","8,795,031","598,768","2,541,503","22,188,038","1,616,755","3,200","6,259,496"
072,Dartmouth,BRISTOL,"5,404,488","7,967,036",0,"677,274","57,981,813","6,622,195","1,302,808","2,473,123","15,572,885","1,545,869","920,000","2,465,058"
073,Dedham,NORFOLK,"14,055,753","7,358,960","7,238,470","1,403,742","53,038,524","8,319,444","1,268,282","2,797,591","16,770,409","3,845,607","1,034,144","13,455,371"
074,Deerfield,FRANKLIN,"1,449,440","1,224,058",0,"166,841","10,286,249","1,788,486","138,396","283,838","1,835,176","434,837",0,"613,757"
075,Dennis,BARNSTABLE,"9,952,832","6,593,370","7,372,885","959,603","21,977,256","6,406,018","6,452,526","5,168,617","8,599,522","1,029,271",0,"3,982,690"
076,Dighton,BRISTOL,"1,775,793","1,829,604","880,674","1,389,672","13,550,782","2,127,885","398,163","412,051","2,542,500","199,681","1,500","362,843"
077,Douglas,WORCESTER,"2,284,159","2,213,416","853,109","1,052,546","19,285,925","1,806,623","415,541","389,919","5,014,136","10,835",751,"2,048,273"
078,Dover,NORFOLK,"3,354,111","2,379,541","593,120","617,898","23,654,462","2,447,673","418,333","1,281,482","4,479,592","328,663","10,150","1,842,375"
079,Dracut,MIDDLESEX,"4,358,439","5,354,329","4,660,569","706,736","47,260,614","6,071,175","637,515","1,029,106","19,628,998","4,795,119","421,062","3,841,242"
080,Dudley,WORCESTER,"1,744,629","2,051,308","1,564,887","32,442","11,999,996","1,018,855","243,672","365,560","2,417,213",0,"45,820","582,862"
081,Dunstable,MIDDLESEX,"649,078","1,187,529","292,675","82,805","8,292,773","821,035","45,381","279,531","785,631","2,340",0,"180,036"
082,Duxbury,PLYMOUTH,"5,505,164","4,882,134","4,134,758","2,304,388","43,008,465","4,556,682","895,400","3,919,676","7,179,024","558,001",0,"6,831,188"
083,East Bridgewater,PLYMOUTH,"4,178,531","3,698,239","3,218,973","393,209","27,640,110","2,644,889","636,673","729,741","9,284,008","799,108",0,"3,457,023"
